model,algorithm,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,min_cluster_size,max_cluster_size,min_cluster_percentage,max_cluster_percentage,inertia,aic,bic,avg_max_probability
KMeans_k5,KMeans,5,0.1352219973164422,3650.8088411753197,2.1086296949239367,2234,10841,6.761910527271627,32.813729644651616,478598.4685563723,,,
GMM_diag_k4,GMM_diag,4,0.023830809551890455,1709.3530314469904,3.003186438600101,1791,17502,5.4210303287123915,52.97536170470367,,840349.7248999971,842056.0238796995,0.9859304481307739
GMM_diag_k5,GMM_diag,5,0.025050404556670926,1423.6197152764119,3.601898932961827,803,17430,2.4305345359888615,52.75743083721775,,708147.1938556319,710282.1689336831,0.9903800126959511
GMM_diag_k6,GMM_diag,6,-0.021980686988625042,1362.8016183585105,3.0811838219443506,788,17436,2.3851322719292933,52.77559174284158,,780147.2309010531,782710.8820774532,0.9786705418073838
