model,algorithm,n_clusters,silhouette_score,calinski_harabasz_score,davies_bouldin_score,min_cluster_size,max_cluster_size,min_cluster_percentage,max_cluster_percentage,inertia,aic,bic,avg_max_probability
KMeans_k5,KMeans,5,0.22084811207880492,6347.157518640038,1.539205235975246,2619,18385,7.927235304800533,55.648041649010224,391157.5622622012,,,
GMM_diag_k4,GMM_diag,4,0.10061236982732316,4529.764327283525,2.076443561787418,3395,17802,10.276045765482172,53.883406985895036,,1378693.257940892,1380063.3403728697,0.982048381697432
GMM_diag_k5,GMM_diag,5,0.1206660439410181,4591.000179186445,1.972716974670608,3458,13783,10.466735274532358,41.71862703553484,,1331965.0638344013,1333679.7682277968,0.9726651999308491
GMM_diag_k6,GMM_diag,6,0.10783140417895906,4296.0368214322125,2.08272648271986,3160,8824,9.564743628548944,26.708638537441733,,1279872.4361124674,1281931.7624672807,0.9664662719472338
