cluster,age_mean,age_median,customer_tenure_mean,customer_tenure_median,total_lifetime_spend_mean,total_lifetime_spend_median,lifetime_total_distinct_products_mean,lifetime_total_distinct_products_median,percentage_of_products_bought_promotion_mean,percentage_of_products_bought_promotion_median,number_complaints_mean,number_complaints_median,distinct_stores_visited_mean,distinct_stores_visited_median,has_loyalty_card_mean,has_loyalty_card_median,total_children_home_mean,total_children_home_median,has_children_mean,has_children_median
0,60.438292964244525,61.0,14.09889270714013,14.0,10334.531118747613,9704.0,148.50630011454754,125.0,0.4512324453576165,0.4270944434466067,0.9789391575663027,1.0,3.744598765432099,4.0,0.6765941198930889,1.0,1.5679156908665106,1.0,0.8434516991218022,1.0
1,56.42755643001585,56.0,13.801196627685613,14.0,25883.313625237966,22029.0,147.54473755779168,125.0,0.3822432214445215,0.32170601627212414,0.9698584512905912,1.0,3.2975810885101704,3.0,0.6107152570029916,1.0,1.6475432641477936,2.0,0.8527604025020397,1.0
2,60.56429349800218,61.0,13.212892741061754,14.0,15564.080353918382,15623.0,103.63470566991694,100.0,0.13335029328536938,0.1218496567061742,0.6622467771639042,1.0,3.4193372177713037,3.0,0.5780065005417118,1.0,1.9233744704365445,2.0,0.9563019140483929,1.0
3,59.460101867572156,59.0,11.85670045045045,12.0,22720.375,22726.0,106.63372747747748,100.0,0.2688094574493482,0.25098838733276196,1.075308996838172,1.0,1.643181818181818,1.0,0.49211711711711714,0.0,0.6562140391254315,0.0,0.47353603603603606,0.0
4,60.42010221465077,61.0,15.720448369565217,16.0,37485.913043478264,37309.5,294.0224184782609,297.0,0.21488906306809744,0.20658390966792156,0.9757701626860505,1.0,3.213795470144132,3.0,0.6735733695652174,1.0,6.423233695652174,6.0,1.0,1.0
