cluster,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,rule_rank
0,energy drink,bluetooth headphones,0.0855875196794046,0.09031057678545872,0.019894089022470304,0.2324414715719064,2.5738012074055625,0.012164630754586476,1.1851727125975942,1
0,bluetooth headphones,energy drink,0.09031057678545872,0.0855875196794046,0.019894089022470304,0.2202852614896989,2.5738012074055625,0.012164630754586476,1.1727525916306822,2
0,energy drink,airpods,0.0855875196794046,0.15586088449978533,0.032632030914555604,0.38127090301003347,2.4462257110478456,0.01929228439518082,1.3643113272138605,3
0,airpods,energy drink,0.15586088449978533,0.0855875196794046,0.032632030914555604,0.20936639118457298,2.446225711047845,0.01929228439518082,1.1565565517643768,4
0,bluetooth headphones,airpods,0.09031057678545872,0.15586088449978533,0.0340632603406326,0.37717908082408874,2.4199726700807234,0.01998737396316523,1.3553480454978,5
0,airpods,bluetooth headphones,0.15586088449978533,0.09031057678545872,0.0340632603406326,0.2185491276400367,2.4199726700807234,0.01998737396316523,1.1641031514461049,6
0,bluetooth headphones,pancakes,0.09031057678545872,0.06898525833691141,0.01431229426077,0.15847860538827258,2.2972821905557272,0.008082195790669657,1.106347084725817,7
0,pancakes,bluetooth headphones,0.06898525833691141,0.09031057678545872,0.01431229426077,0.20746887966804978,2.297282190555727,0.008082195790669657,1.1478280156790808,8
0,pancakes,energy drink,0.06898525833691141,0.0855875196794046,0.0127379418920853,0.1846473029045643,2.1574092063448007,0.006833664736586085,1.1214931692481602,9
0,iphone 10,bluetooth headphones,0.0728495777873193,0.09031057678545872,0.013882925432946901,0.1905697445972495,2.1101597551521114,0.007303838044396954,1.1238638747966057,10
0,bluetooth headphones,iphone 10,0.09031057678545872,0.0728495777873193,0.013882925432946901,0.1537242472266244,2.1101597551521114,0.007303838044396954,1.095565386547194,11
0,pancakes,iphone 10,0.06898525833691141,0.0728495777873193,0.0104479748103621,0.15145228215767634,2.0789726825848422,0.0054224278669689555,1.0926320379132326,12
0,pancakes,airpods,0.06898525833691141,0.15586088449978533,0.0216115643337627,0.3132780082987552,2.009984797046283,0.0108594609519255,1.229229769399104,13
0,protein bar,energy drink,0.0835837984828968,0.0855875196794046,0.014169171318162302,0.1695205479452055,1.9806690108581118,0.007015441320627982,1.1010657494994387,14
0,energy drink,protein bar,0.0855875196794046,0.0835837984828968,0.014169171318162302,0.16555183946488294,1.9806690108581115,0.007015441320627982,1.0982302374894344,15
0,chocolate,energy drink,0.0605410047230571,0.0855875196794046,0.0101617289251467,0.16784869976359337,1.9611352261676036,0.004980174492001124,1.0988536340216246,16
0,iphone 10,energy drink,0.0728495777873193,0.0855875196794046,0.012165450121654502,0.1669941060903733,1.9511501994204654,0.005930435449145994,1.097726303026375,17
0,energy bar,energy drink,0.0841562902533276,0.0855875196794046,0.0140260483755546,0.16666666666666666,1.9473244147157192,0.0068233202273522385,1.0972949763847144,18
0,energy drink,energy bar,0.0855875196794046,0.0841562902533276,0.0140260483755546,0.16387959866220736,1.9473244147157192,0.0068233202273522385,1.0953490768570202,19
0,iphone 10,airpods,0.0728495777873193,0.15586088449978533,0.021897810218978103,0.30058939096267195,1.9285749078569225,0.010543410589610601,1.2069292409820487,20
1,energy drink,bluetooth headphones,0.08444973702490821,0.08514438821077702,0.020819688399325197,0.24653349001175087,2.8954754998233256,0.013629267205778383,1.214195454823189,1
1,bluetooth headphones,energy drink,0.08514438821077702,0.08444973702490821,0.020819688399325197,0.24452214452214452,2.8954754998233256,0.013629267205778383,1.2118823289611673,2
1,salad,avocado,0.08063907909099931,0.08300089312295326,0.018934206609109855,0.23480187053901058,2.8289077587537177,0.012241091023944446,1.1983812709042911,3
1,avocado,salad,0.08300089312295326,0.08063907909099931,0.018934206609109855,0.22812051649928264,2.8289077587537177,0.012241091023944446,1.1910679588728132,4
