feature_set_variant,k,random_state,n_features,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score,min_cluster_size,max_cluster_size,min_cluster_percentage,max_cluster_percentage
previous_with_categorical_dummies,5,42,25,478598.4685563723,0.1352219973164422,3650.8088411753197,2.1086296949239367,2234,10841,6.761910527271627,32.813729644651616
compact_business_set,5,42,20,450976.06780403346,0.14115601600203084,3841.553194942843,2.057096065933998,2233,10769,6.758883709667655,32.59579877716568
